1696910521# #旧事再度重提，老岳透露Scout与EDG闹崩的更多细节：。。1、闹掰归根结底是因为钱的事。2、FOFO是闹掰之后来的没有说轮换。3、Scout薪资已经是顶薪，2050工资帽，不想破坏规则守住底线，联盟没有一个超的。4、JDG都没有突破2050，Knight为了团队只拿1800。5、到最后都不至于发飙，发飙是因为还有更多事，不能
1703493163# #为什么无论LPL还是LCK都有人在外战稳定尽孝呢？稳定的让人心安允悲。。英雄联盟2024lpl
1702449917# #台湾省网友热议：Theshy被WBG搞没比赛打只能休息！。。英雄联盟theshy我想休息一下
1700968131# #如何评价TES明年的阵容，至臻全华班！。。英雄联盟2024LPL
1703147204# #英文流解说Kitty辞职后，新动态分享照片。。。英雄联盟2024LPL
1698921312# #恭喜WBG3-0NRG，零封对手拿到四强名额晋级半决赛！。。WBG战胜NRG英雄联盟s13
1697716326# #虽然这场比赛里Theshy没什么声音，但是推家时亮的标声音确实有点大打工人。。TheShy亮iG队标WBG战胜NRG
1693581848# #我发现一个人时间长了就会变成习惯。。。会懒得恋爱，对爱情越来越挑剔，对朋友越来越重视，比以前更珍惜亲情，更爱父母，对所有的节日大多没什么期待，觉得日子过得无拘无束自由自在。。。你是不是也会这样，一个人无忧无虑的过着每一天，偶尔会去市场买一束鲜花回家，夕阳西下的时候做一顿精美的晚餐给
1701228842# #WBG是真给新人机会啊笑cry。。左雾关注weiwei涵艺爆料xiaohao加入WBG
1699243547# #Ale直播爆料：LNG留不住Gala和Scout了，Tarzan没人要。。。Tarzan已经是垃圾合同了，没人要了，Gala和scout两个人合同到期，有很多队伍在追Scout和Gala。。。英雄联盟S13英雄联盟
1700462535# #网友投稿：WBG没人愿意跟他们训练赛情有可原！此前FPX跟他们打训练赛，被反手嘲讽垫底碰瓷，现在只是没人敢了罢了。。。英雄联盟S13Ning点评WBG教练
1704349919# #LCK春季赛准备开打，韩网热议：称T1第一把就打国际赛。。。（LCK那边貌似也已经切割GENG了，把GENG划为LPL队伍笑cry)。。英雄联盟2024lpl
1702632197# #各位看到余霜和管泽元的结婚照心里有没有一丝感慨呢，有的话就把般配打出来打call。。英雄联盟余霜管泽元结婚照
1699416546# #Gumayusi邢道荣的形象是不是太深入人心了？。T1零封LNG，Gala评分竟然比姑妈都高，管泽元当场没崩住都惊呆了。虽说gala没输，但是明显gumayusi这三局表现很出色。。。英雄联盟S13英雄联盟
1696145053# #BLG主教练Tabe点赞粉丝喷阿布朱开为首的教练团队博文，这是也有不满？。。不过好像BLG的首发俩人表现也一般允悲。。英雄联盟
1702690160# #EDG官宣Uzi断开连接。。。只能说Uzi和Meiko没有在对的时间遇见彼此吧。。。如果巅峰Uzi和Meiko一起，应该会是最合适的组合了吧。。。英雄联盟edg宣布uzi离队
1695278537# #网友热议：九尾出道四年半，有进过一阵吗？疑问。。KPL王者荣耀
1701742759# #真想不到呀吃惊。Tabe竟然会没有工作，BLG今年的功臣之一，一路带着BLG进MSI，世界赛。。双杀韩国队，今年唯一战胜T1的队伍，赛后庆祝跑错边，骑脸GEN，世界赛再次双杀GEN，打韩国队特有血性。。这才是老一代电竞该有的魄力与热爱。。。英雄联盟英雄联盟s13。现在竟然会没队伍要？？不理解允悲。你
1697609970# #明天揭幕战T1，本次S赛有可能是他们这个阵容的最后一舞。。。如果非要让你给这支T1评个级的话，你会怎么选？。。英雄联盟T1对战TL
1695194681# #圣枪哥对线被小超梦薄纱？之前不是还说flandre要复出的傻眼。值得一提的是，目前待业的圣枪哥已经到了韩服800分左右，算是职业选手里比较高的分数了。。。英雄联盟
