1689138484# #0# #11# #0.9995258176362964
1702659321# #0# #6# #0.01760844425270586
1703837829# #0# #55# #0.1315299354043624
1703815677# #0# #18# #0.9110842276429093
1688536496# #0# #41# #0.006212594354790797
1693645126# #0# #16# #0.20825548769892754
1699547766# #0# #45# #0.03410045270842341
1699102384# #0# #22# #0.02468766192653989
1703162409# #0# #5# #0.45263718483012166
1701056718# #0# #10# #0.4510421102827523
1693121431# #0# #13# #0.4872391054474284
1693020895# #0# #47# #0.13326124538649026
1691253184# #0# #74# #0.038492243928129596
1689087519# #0# #33# #0.171625619061613
1698308874# #0# #19# #0.9982339704111782
1691254397# #0# #18# #0.2921930055645894
1699705848# #0# #5# #0.0740234394141366
1697693536# #0# #20# #0.25220006513061616
1695951430# #0# #115# #0.17618731776299154
1688652729# #0# #2# #0.9933721120219715
1698297631# #0# #42# #0.013693884010093622
1701364636# #0# #514# #0.3566990619441736
1700755344# #0# #5# #0.38724123190243137
1697191198# #0# #11# #0.7274817833288141
1690820598# #0# #11# #0.08730171935552186
1689688073# #0# #14# #0.08040253977729102
1700552303# #0# #48# #0.9949037361984475
1698682995# #0# #33# #0.017891243648773977
1688644749# #0# #7# #0.10099946269645836
1700282548# #0# #39# #0.9135557858913931
1700405330# #0# #20# #0.004373979517902059
1702868914# #0# #17# #0.23636850552103236
1692540386# #0# #19# #0.3212430431740747
1694075783# #0# #163# #0.25843767390395583
1688905380# #0# #410# #0.08352225071070966
1700568777# #0# #114# #0.3548262623319444
1690372497# #0# #55# #0.03752133816340452
1701914954# #0# #27# #0.010561311435618434
1703306722# #0# #13# #0.9777091433507277
1701954757# #0# #13# #0.967225989557189
1702641690# #0# #85# #0.008379180704512861
1701434409# #0# #6# #0.01046076528125066
1699150594# #0# #5# #0.3502511381225429
1699352988# #0# #17# #0.5547610856528687
1703838612# #0# #4# #0.10087287778792374
1691059824# #0# #65# #0.0046447922288649236
1690387385# #0# #78# #0.19449486527459667
1693654826# #0# #101# #0.01125370147023863
1697785415# #0# #7# #0.1710017216325091
1700281193# #0# #16# #0.8490278448838454
1693280615# #0# #11# #0.7895609341746926
1694060468# #0# #21# #0.6789605767192116
1692358584# #0# #11# #0.021653782282705154
1692683920# #0# #27# #0.02069466741448911
1697694968# #0# #613# #0.5148338203632764
1702226726# #0# #55# #0.39608989989821525
1690993396# #0# #12# #0.08275453203762931
1700486589# #0# #8# #0.4894030959408675
1698774253# #0# #21# #0.027376875168844173
1703090606# #0# #33# #0.05165277192882766
1699872265# #0# #12# #0.6822990379702806
1689222530# #0# #29# #0.11191598962559544
1699937016# #0# #15# #0.5366208683353934
1688622378# #0# #8# #0.04190913489465348
1692598249# #0# #79# #0.14366327402857793
1693965750# #0# #2# #0.12551774647268826
1697376998# #0# #10# #0.0560633945576297
1692779701# #0# #10# #0.08794672648435177
1699948034# #0# #19# #0.05897831850749885
1696898577# #0# #19# #0.434980827599002
1696642603# #0# #12# #0.0033071245958917923
1691217324# #0# #359# #0.06617479479567874
1692870505# #0# #26# #0.34379712543948693
1692414765# #0# #86# #0.016656314467337174
1695264509# #0# #10# #0.04853125056861363
1693917785# #0# #4# #0.9535849116807507
1703059570# #0# #60# #1.0000196257469631
1703330083# #0# #6# #0.491943278122804
1702474562# #0# #7# #0.2726955444529178
1691128243# #0# #24# #0.16394270945981376
1697160690# #0# #13# #0.47522980682999955
1691079766# #0# #26# #0.8206772810677159
1703583443# #0# #7# #0.21753503420331577
1700297578# #0# #121# #0.022635063954160116
1700811875# #0# #32# #0.6203583743934104
1693713166# #0# #11# #0.5984517648742352
1689498890# #0# #6# #0.49720879121283595
1693733876# #0# #10# #0.24140703281512063
1696579548# #0# #31# #0.21304053101502238
1697258182# #0# #31# #0.11356307545701493
1689260505# #0# #21# #0.14440113399838606
1692326736# #0# #17# #0.11860908850194053
1699421173# #0# #537# #0.10837624725872706
1692427242# #0# #17# #0.06803863587276693
1701005124# #0# #86# #0.1629604034711778
1696737839# #0# #76# #0.17525504311008594
1699359896# #0# #208# #0.1289279403708159
1690128140# #0# #9# #0.5366790765644259
1688961007# #0# #10# #0.2399848613238312
1694689707# #0# #4# #0.07422748747109194
1698129070# #0# #8# #0.7350914430368519
1693375243# #0# #103# #0.9474036947040025
1703922543# #0# #12# #0.010334748021106817
1688902847# #0# #14# #0.645142272909797
1696574681# #0# #112# #0.9957094194469026
1693044806# #0# #1015# #0.02085987105863813
1697088538# #0# #7# #0.011944047020239795
1693889472# #0# #49# #0.33483646327891436
1703404289# #0# #7# #0.01044155664355889
1701357373# #0# #7# #0.06220525101475428
1692874706# #0# #192# #0.03369566056097516
1694137640# #0# #12# #0.5445428235502643
1703547379# #0# #66# #0.05222417362469786
1692856395# #0# #12# #0.9160167378510115
1693964114# #0# #5# #0.16383988949907907
1696220196# #0# #63# #0.20894692065719397
1703348002# #0# #8# #0.005825006026661017
1688920547# #0# #103# #0.140852373462944
1703241410# #0# #10# #0.9167361862790334
1690994578# #0# #100# #0.7804554585614115
1697686967# #0# #30# #0.4122344006661086
1703913455# #0# #5# #0.9930109105591246
1693874470# #0# #7# #0.007159458298881606
1698891832# #0# #24# #0.030500357441469655
1692944994# #0# #30# #0.4511470741751563
1701416199# #0# #11# #0.055409534605558634
1689438826# #0# #38# #0.06780255631154876
1691500687# #0# #77# #0.5890287227389341
1692694173# #0# #33# #0.1880956627154199
1694485984# #0# #45# #0.9893228970767257
1703003794# #0# #14# #0.009582703090930556
1703611743# #0# #7# #0.07504297417854891
1688544521# #0# #176# #0.0059057027793073605
1692538706# #0# #16# #0.01676583025668362
1693549893# #0# #14# #0.052938018556371945
1699768498# #0# #17# #0.06907006431927504
1698570857# #0# #50# #0.4587891441109926
1694091162# #0# #2# #0.4601655192465139
1697099432# #0# #112# #0.013011639772673327
1702123650# #0# #82# #0.7346735135971058
1694062339# #0# #9# #0.014188154777323011
1689699335# #0# #253# #0.06302162097255122
1692937299# #0# #11# #0.006217201380295046
1698218654# #0# #6# #0.01850658570243679
1700470563# #0# #80# #0.0563298340783458
1689604002# #0# #32# #0.6824142082347233
1697424014# #0# #17# #0.891214502756518
1689999695# #0# #38# #0.041857871656947085
1697633118# #0# #182# #0.9496236876503891
1702825311# #0# #22# #0.15701683834239463
1697606658# #0# #54# #0.009453424922649854
1697347630# #0# #46# #0.8172542857389757
1697286812# #0# #60# #0.07284417020027832
1688810945# #0# #19# #0.6621250581130674
