1700455520# #高山流水遇知音，柿柿如意来湘会，刘诗诗反向应援，诗与狮双向奔赴苦涩苦涩
1692083104# #代号鸢超话没粮自己产，来看看美丽的第五天，一个在乱世、家族男丁凋零的双重buff下，十三岁接管家族并且发扬光大，让家族成为三辅魁首的奇女子。
1701624862# #刘诗诗辛苦了微笑
1701587168# #一起来看一念关山❤️刘诗诗任如意
1701616146# #恭喜刘诗诗一番女主剧热度破万！泪泪泪
1700454124# #刘诗诗刘宇宁hi6上班路透芒果是知道怎么让刘诗诗害羞的哈哈哈哈doge
1703504241# #关山已过，竹业再会。还得是刘诗诗争气将任如意演活了，比耶现在可以开开心心带上刘诗诗东方淮竹
1703128278# #太美了哇
1690879510# #代号鸢超话。。有玩过花心的吗？。庞统真的让我幻视到小季。尤其是明显的高马尾和发色
1700445363# #与诗同在泪
1702105140# #借用刘诗诗任如意的一句话：“世人都说我令人生畏，我却笑他们不知女子立世之难”，不求所有高光围着女主转，只求不要魔改刘诗诗任如意内核。戏份多少是其次，最主要的是人设崩塌改剧本，篡改嫁接人物核心，扭曲是原罪。悲伤
1701619564# #太太苦涩苦涩
1704639717# #刘诗诗靠张云龙肩膀路透哇～咱们狐妖小红娘竹业篇还是俊男美女养眼啊～观众老爷们记得来🥝预约竹业，马上就可以有百万福利看到刘诗诗东方淮竹啦哇
1704547111# #好好好，这就是一念关山刘诗诗任如意的红利啊，杂志井喷，明天开年第五刊比耶
1701271393# #刘诗诗任如意起飞这段，搭配上张杰、任贤齐ost，酥麻感直冲天灵盖！燃到头皮发麻，导演牛编剧牛剪辑牛演员牛～哇
1700996104# #刘诗诗角色号删博角色是由演员塑造的，角色和演员不一条心，那你后续再从这个号发东西观众是选择信你还是不信呢？一个演员从前期看剧本到进组拍摄，她在那几个月的时间里是实实在在成为角色那个人的，一个角色号运营再怎么样都不会比演员本人更了解更爱这个角色。质疑谁都不该质疑演员本人对这个角色
1703343953# #关山已过，前路犹长，我们再会。心
1702646352# #方逸伦评论女主粉啥话没说，结果还能全自动挨骂。看了一圈不就是男主粉觉得男二说这话这在站队男主然后转发嘲女主，把男二当靶子架起来吗？散了吧散了吧摊手
1703563247# #豆瓣乐子人票选最终结果谢谢各位观众姥爷对一念关山刘诗诗任如意的认可！能有这样的成绩还要多谢你们的支持。关山已过，竹业再会。可以期待一下刘诗诗的狐妖小红娘竹业篇，来看看跟任如意不一样的东方淮竹色
1700396806# #好可爱
1699010689# #刘诗诗神女逆光而来。。当年那个稚嫩的小姑娘现在已经可以独当一面了泪
