1694309345# #转发微博
1701008032# #刘诗诗一念关山团队也睁眼看看，不要寒了粉丝的心
1698211683# #哈哈哈哈
1697644301# #转发微博
1703924106# #刘诗诗耗子娘别挑了，被耗子衬得一堆男演员眉清眼秀，有鼻子有眼的可爱可爱可爱
1695389823# #刘诗诗状态养好，装造要好，最近出来颜值不大稳定……唉拍戏最关键，好好拍淮竹心
1702620588# #好可爱啊刘诗诗一念关山
1701235654# #这么好看的任如意，不安排高位热搜吗？我打call打call单人高位有效热搜！！！！！
1701703205# #好好看啊哇哇哇刘诗诗任如意
1701620780# #一念关山破万狮子真的不容易苦涩刘诗诗任如意剧粉来呀
1698769254# #好好看，想买~~
1702081084# #刘诗诗一念关山辱追粉本质是事业粉，何必对刘诗诗念念不忘呢，她一没大公司二没资本，她又能怎么办，你粉丝撕逼也打不过人家！从明星团队到粉丝群体都没用，不如心态放平一点……骂骂剧方出气……不然自己太较真达不到想要的结果又生气。粉刘诗诗还不知道她是个什么样的人吗？以前说好当生命粉的呢
1703568810# #刘诗诗任如意哇！赶紧播出来心心心一念关山
1701613818# #恭喜抗剧女王刘诗诗一番女主剧一念关山开播六天热度破10000➕❗️❗️刘诗诗抗剧女王❗️❗️刘诗诗一念关山最强ip❗️❗️刘诗诗一念关山继续爱刘诗诗任如意
1700494165# #尖叫！刘诗诗一念关山
1701602929# #允悲允悲允悲刘诗诗一念关山
1701193586# #刘诗诗一念关山
1689349737# #大结局特地看了片尾，顾九思的配音指导是边江，怪不得里面台词说的好好。肯努力花心思的演员早晚会过火的🔥
1701663012# #刘诗诗刘宇宁史密斯夫妇莫挨一姐二哈二哈二哈
1701602583# #刘诗诗任如意粉丝期待刘诗诗任如意心心心刘诗诗一念关山
1702822591# #笑cry
1693757573# #好美啊泪
1701611304# #一念关山今晚的刘诗诗任如意打戏绝了哇哇哇刘诗诗一念关山
1701264520# #刘诗诗一念关山哭了姐妹情泪
1700725983# #姐姐没驯服刘海但是驯服了我哈哈哈哈哈刘诗诗一念关山
1701769925# #于适骑白马入场手机是代言吗？这么举着笑cry
1703261638# #刘诗诗任如意粉丝正能量心刘诗诗
1701009445# #刘诗诗角色号删博来了！刘诗诗一念关山
1701360006# #哈哈哈哈刘诗诗一念关山可爱刘诗诗任如意
1702138589# #好可爱！快进到周六吧苦涩苦涩苦涩刘诗诗任如意
1694099389# #哈哈哈表哥
1700884383# #刘诗诗一念关山好喜欢(｢･ω･)｢嘿
1702268642# #只要男主不在，其他戏份都不错dogedogedoge一念关山
1692895913# #《在我消失前》我好希望每个想要结束自己人都能再接到这样一通电话，求求你们接起来。苦涩
1702114479# #欢迎各位剪辑一念关山刘诗诗任如意哇哇哇多看美女对眼睛好刘诗诗任如意
1701688011# #苦涩苦涩苦涩刘诗诗任如意
1701059893# #刘诗诗一念关山一起来看孤狼任如意哇哇哇
1701128546# #刘诗诗一念关山嘿嘿追剧刘诗诗任如意
1701614813# #来了刘诗诗任如意一念关山破万
1701175950# #刘诗诗一念关山哇！惊艳到了刘诗诗任如意
1701148152# #哈哈哈哈好飒刘诗诗一念关山刘诗诗任如意
1702127606# #一念关山女性群像哇！这个热搜名真勇啊！刘诗诗任如意！一念关山女群像赞赞赞
1688782660# #专家说秦二世被冤枉了2000多年昨天在看《哑舍》说到了公子扶苏，还有胡亥赵高
1701321404# #如果霍建华饰演一念关山不管怎么说，公主们给个机会来看剧吧心心心剧情好，美女多，值得一看
1689357572# #害，剧情颜值都不如老版。不过，如果他能拍完播完就赢了。
1701748166# #狐妖小红娘竹业篇官宣杀青我靠！刘诗诗任如意牛逼啊！这个核心控制力太牛了
1702740791# #用想见你打开辛光挺带感的笑cry刘诗诗一念关山
1701739456# #好会做饭的常华森用魔法打败魔法🪄哈哈哈哈男主了不得气死
