1702116438# #刘诗诗如意一直都很清醒。今晚剧情继续高能哇七点爱奇艺来看！！！。刘诗诗任如意要为徒弟报仇了。辛光批狂喜鼓掌
1701404904# #昭节皇后是如意的逆鳞。什么时候能多一点刘诗诗任如意和皇后的戏份啊想看开学季开学季
1695097002# #无语死了泪期待好久的转战常州了拜拜nm候补车票都不知道能不能候补上不早一点说
1704018128# #小谢多多见面好不好太开心太开心
1704016846# #偶莫nfl的调调舔屏舔屏谢可寅0104生日快乐
1701416578# #看完视频就两个想法:谢可寅辛苦了和视频真的好长啊允悲大段练习拼凑用的了你一个月剪吗黑线
1702912076# #怎么又要万转了二哈
1703468016# #燃耀。电视一集没看糖是一点儿没落下笑cry。好磕馋嘴
1704007348# #好多节目吃惊期待谢可寅叫姐姐赢牛奶赢牛奶
1700407527# #刘诗诗到达长沙。期待期待！综艺就是明天啦！希望可以快点播出送花花送花花
1701490093# #刘诗诗磨皮。刘诗诗三十几岁的皮肤状态。美成这样。我想都不敢想允悲
1704595037# #刘诗诗任如意爆火舔屏舔屏期待正式封面和内页
1703668974# #刘诗诗半扎发。刘诗诗任如意好美太开心一念关山爱奇艺全集在播。年度癫剧点开就让你欲罢不能嘻嘻。爱奇艺可以预约狐妖小红娘竹业篇了赢牛奶赢牛奶
1699079148# #等我在的时候再正式打苦涩谢谢
1702697918# #刘诗诗任如意任辛❤️任辛刘诗诗一念关山”
1702664150# #又想起了土门666。没看过原小说听说也是偏女主的双强。剧本处理的就很好效果出来之后谁也没有被削弱。by和女主的戏份就旗鼓相当感情戏也很自然。除了被孟姐演技创到倒是一次很好的追剧体验。谢医也是很好的把握住了双强也没有抢风头。合作共赢。真想让by和诗诗合作一次。让诗诗了解一下什么才叫真正好的
1700452668# #ru追不是粉。tmd每次比黑子跑的还快骂的还狠汗。正常提意见也不用上升刘诗诗吧揣手
1697776946# #谢可寅失重游戏好撩南京见
1697881460# #这个带子真的有点危险嘻嘻
1701081066# #明天真是个好日子赢牛奶赢牛奶
1698737137# #好喜欢这个色刘诗诗时光生长大片
1703347525# #意难平平不了也得平
1703998424# #笑死了hzy广场已经三家粉丝在建设了。出圈实绩🈶
1703648862# #期待刘诗诗任如意赢牛奶口播好好嘻嘻
1702889715# #好美啊跪了快进组刘诗诗精彩ok开年封面鲨疯了
1703934890# #2024谢可寅也要多多工作太开心
1697790904# #单身狗
1704031169# #林强太开心太开心白宇前途无量
1697977486# #到时候会去的迟啊允悲好可惜
1698416929# #她好爱❤️
1702135593# #期待刘诗诗任如意哇哇好可爱
