1687658389# #本来是一个温馨的场面，没想到……我拿你当兄弟，你却想占我便宜允悲消防蓝朋友
1690761355# #【女子打馅左手卷进绞肉机血流满地】近日，湖南邵阳，一女子在打馅时，因操作不当，不慎将整只左手卷进绞肉机中，死死卡住无法取出，血流满地，报警求助。消防员赶赴，一边安抚女子情绪，一边用角磨机、无齿锯等工具小心翼翼地对绞肉机进行破拆。处置成功后，现场医护人员紧急接力救援。
1689893945# #【夏日高温警惕上火】夏季气温攀升，在使用家用电器的时候，切不可忽视消防安全，若疏忽大意就会造成安全事故的发生，这些知识点要牢记开10天的空调要了325块钱
1698270484# #黑龙江消防快讯【消防员训练浑身是泥只剩牙是白的】近日，山东青岛，蓝朋友进行救援科目训练，进入淤泥之中进行模拟救援，结束后一个个浑身沾满污泥浆，远远望去几乎和石块融为一体，但蓝朋友依然露出憨憨的笑容~网友：只有牙是白滴，好笑又心疼~
1694720257# #新手瘦肚子都来练这个【有小肚子的都来试试这几个动作】科学健身才是最好的减脂方式，蓝朋友教你一组专门针对小肚子的训练操。动作简单实用，好学又燃脂，坚持下去跟小肚子说拜拜。ps：别只顾着看，跟着蓝朋友一起练起来吧~
1703779356# #【消防检查遇一叠满危险buff的电动车】近日，广西南宁，电动车一定要规范充电。话说你遇到过这样
1698270476# #【消防员闯进火场废墟帮老人找寻财物】近日，安徽亳州，一房屋着火，火势猛烈，村民报警求助。消防员接警后赶赴，立即架设水枪扑救，在扑灭火后得知老人屋内还有财物，蓝朋友便返回废墟中仔细扒寻，帮老人找到部分财务及个人物品。
1701101354# #如何预防呼吸道疾病感染冬季呼吸道疾病进入高发季节，养成洗手好习惯、正确佩戴口罩、室内通风换气。坚持每天锻炼，强身健体，提高抵抗力！晚安！晚安
1701894489# #【校园发生火灾如何正确逃生？】学校属于人员密集型场所，一旦发生火灾，师生的生命安全将直接受到威胁。在校园发生火灾时，我们该如何逃生？看完这期节目你就知道啦～收到收到
1692125209# #黑龙江消防快讯【看着吓人！男子好好走路被飞来的鱼钩扎穿腿】近日，江苏泰州，一男子街边行走，被一辆载着巨型鱼钩的电动车拌倒，鱼钩不慎刺穿男子小腿。由于鱼钩很长且十分坚硬，医院求助消防帮忙，救援人员将鱼钩外露部分剪切后，男子得到进一步治疗。消防蓝朋友
1693349583# #【10米绿化带起火只因司机随手一扔】近日，四川，一男子驾车行驶至高速路段，突然从车窗随手丢出一个烟头，烟头引燃绿化带，火势迅速蔓延，瞬间过火十多米长。消防员赶赴，架设水枪扑灭了明火，男子也因此被扣3分罚款300元。提示：开车时乱扔烟头有火灾隐患，禁止！消防蓝朋友
1702763526# #【越是听起来简单的菜越不好做】苦瓜炒蛋，是广东家常名菜，苦瓜要不苦，炒蛋要嫩滑，听起来容易，做起来难，那么今天蓝朋友就教大家做这道苦瓜炒蛋，喜欢吃的小伙伴赶紧拿小本本记下来~消防员的美食有多馋人
1700430198# #【工人操作失误滚烫的铁水四处飞溅】工人将材料倒入熔炉，下一秒滚烫的铁水四处飞溅。天津消防提示您:具有火灾危险性的特殊工种岗位员工必须进行消防安全专业培训。
1690068773# #人人都要掌握的灭火器使用方法，灭火器的正确使用方法请牢记，当火灾处于初起阶段，我们便可以拿起灭火器快速灭火。所以，“提、拔、握、压”你可以熟练操作吗？以最常见的干粉灭火器为例，一起来复习应用场景和使用方法↓↓
1696971578# #【消防砸车窗救出被困的三月婴儿】近日，浙江宁波，一名三个月大的婴儿被困车内，家长施救无果后报警求助。消防员赶赴，经了解为宝妈未拿车钥匙将车门关上，以往车门不会上锁的，这次却偏偏自动落锁了，留三个月大的婴儿被锁在了车内，宝妈宝爸使劲砸窗也无济于事。蓝朋友迅速破窗，救出小婴儿，所
1695485084# #【显眼包卡手救援时班级变成音乐课】近日，湖北孝感，“显眼包”同学手卡黑板槽死活拿不出，老师无奈报警求助。消防员赶赴，只见娃表情委屈站在黑板前，赶紧拿出工具破拆金属边框助其脱困。话说娃的表现欲也是极强，一会儿喊疼一会儿大哭一会儿尖叫，教室犹如音乐课，满屋回荡着“小高音”。网友：小
1700499810# #【警惕！果消提醒各位上班族久坐4个小时就可能形成血栓】久坐不仅可能形成血栓，还可能形成糖尿病。
1696971610# #【消防员救70000只鸡养鸡大户拎鸡感谢】近日，湖南常德，一养鸡场因乡镇自来水管维修，导致70000多只鸡用水告急，情急之下养鸡场负责人试着拨打119求助。了解情况后，消防员为养鸡场送来10多吨水，解决了养殖场的燃眉之急。第二天，养鸡场老板提着两只鸡送来了消防站，感谢消防化解危“鸡”。
1689722208# #【消防员吃到了这个夏天最甜的西瓜】近日，天津河北，艳阳高照的高温天里，两个小萌娃端着两盘切好的西瓜送到消防站，软萌表示要让消防哥哥们解解暑。不忍心孩子失望，盛情难却的蓝朋友只得收下，感觉这是今年吃到的最甜的瓜~
1695413158# #【浓烟呛晕女孩消防紧急心肺复苏】近日，贵州福泉，一居民家中起火，1大人2小孩被困。消防员接警后紧急赶赴，只见火势处于猛烈燃烧阶段，楼道充满浓烟。紧急转移出被困人员后，因小女孩吸入大量浓烟窒息昏迷，消防员迅速对其进行心肺复苏抢救，女孩逐渐清醒，120到场后被立即送往医院救治。
1697061446# #【消防员抓了只在商场跑酷的黄鼠狼】近日，天津西青，商场闯入一只黄鼠狼，小家伙身形灵活，左窜右跳，物理躲避的同时还放臭屁“化学攻击”。店员无奈报警求助，消防员赶赴抓捕，还好蓝朋友身手敏捷，将其制服，随后带至野外放生。
1696005707# #【十一假期安全提示之仓储物流防火篇】秋季天气干燥，起火风险较高，仓储物流场所货物众多，其中不乏大量可燃物，一旦起火，将会造成非常严重的后果。因此，仓储物流场所必须时刻做好火灾防范工作，防患于未然。戳图↓↓了解。
1688349564# #消防蓝朋友【湖州小女孩当走在路上看到消防员叔叔】路上碰到萌娃想打招呼，手足无措的样子太可爱了，虽然有点矜持但也很开心看到消防员叔叔啦～全民正能量
1704314835# #【傻狍子打响2024消防员救动物第一枪】近日，山西晋城，恭喜狍哥喜提消防员新年第一救~
1695845084# #高楼火灾火势蔓延快、疏散困难、扑救难度大，当我们遇到高层突发火灾时该如何正确自救逃生呢？这份高层建筑火灾逃生指南请收好！
1700860744# #【注意了！冬天洗澡这个东西要当心】天气变冷，浴室浴霸逐渐流行起来。湖南郴州一居民家中浴霸在使用过程中突然起火，‌‌好在消防员处置及时，没有酿成大灾。那么平时我们应该怎样预防浴霸起火呢？戳视频了解~全国消防宣传月
1690848414# #云南地震【发生地震时如何自救】地震时，在家中的人员进行个人防护的方法：当你感到地面或建筑物晃动时，切记最大的危害是来自掉下来的碎片，此刻你要动作机灵的躲避。蓝浙浙的微课堂
1703722701# #【图书馆消防安全提示】图书馆是人员密集场所，为降低图书馆火灾发生的概率，降低火灾，同学们一起来了解下有关图书馆的消防安全小知识吧↓
1693844688# #【油锅起火浇了杯水整个厨房都着了】近日，湖南长沙，一居民家中做饭因火太旺致油锅起火，当时人在客厅，烟雾报警器响起才匆匆跑进厨房，情急之下向油锅里浇了杯水，瞬间爆燃，消防赶赴扑灭了火焰。话说厨房用火时千万不能离人呀。提示：油锅起火千万不能用水灭！
1701299003# #太原地震【地震震级是如何测定的？】震级是衡量地震强度的一把尺子，能反映一次地震释放能量的大小，地震越强，震级越大。震级相差一级，能量相差约32倍。震级是如何测定的呢？戳视频↓↓
1696176065# #【仓储物流防火要点】秋季天气干燥，起火风险较大，仓储物流场所货物众多，其中不乏大量可燃物，一旦起火，后果不堪设想。因此，仓储物流场所必须时刻做好火灾防范工作，防患于未然。仓储物流企业如何保证消防安全？戳下图了解↓↓
1698692915# #看过急救现场马上去学海姆立克方法了【转扩！如何用海姆立克法急救？】幼童卡喉脸已发紫护士45秒极速营救人的气道一旦被异物堵住，要立即进行科学急救。需要注意的是，针对3岁以下小孩和成人，海姆立克急救法的动作是不同的！除了对他人，独自一人被卡喉，也可采取海姆立克法自救。戳↓↓一起学起
1700860815# #辽宁消防超话【消防搜救犬过障碍快到重影】嗖～我来啦，我是的“腾达”！快来看看我训练的样子吧，简单过个障碍而已，虽然只是训练，但我必须保证像实战一样迅速准确~消防搜救犬谁看了不爱
1691019756# #【垂钓时勿忘安全】垂钓静心又陶冶情操，但因钓鱼引起的误伤事故不在少数。奉节消防提醒您：垂钓要注意甩杆时观察周围，避开人、远离高压线，以防误伤自己和他人。
1694646984# #【消防跪地救回瞳孔放大的溺水男孩】近日，贵州铜仁，一男童在江边玩耍时不慎落水，正在附近训练的消防员听见群众呼救声迅疾跳入江中捞起男孩。此时男孩已休克昏厥，且伴发瞳孔散大，消防员立即跪地开始“教科书式”溺水心肺复苏，约2分钟后，男孩逐渐恢复意识。网友：这就是无处不在的蓝朋友！
1703722631# #【汽车起火7岁女孩飞奔取灭火器】近日，湖南长沙，女孩路过车库时发现一汽车突发自燃起火，告诉妈妈报警后，自己飞奔向楼梯间找灭火器，中途还提醒其他业主不要去车库。赶赴将火扑灭，因为女孩发现及时，并无太大损失。蓝朋友还去学校送上了荣誉证书和消防礼包。消防蓝朋友
1692210635# #【货车起火18吨芒果烧熟了】近日，江西新余，一满载18.5吨芒果的货车高速起火，司机报警求助。消防员深夜赶赴，远远望去浓烟滚滚，芒果已被烧得黑乎乎，地上还散落着不少，救援人员立即架设水枪将火扑灭，保住了部分芒果。消防蓝朋友
1694889686# #【男子冒充消防员卖货被抓了个正着】近日，福建宁德，男子冒充消防员上门培训推销高价产品，群众心中生疑报警。消防、民警齐赶赴，这骗子不仅穿着假制服，还明目张胆的诱导他人，看着是培训，实则是在高价售卖消防产品。目前已被公安机关带走调查。提示：消防培训不收费，更不会推销任何消防产品。
1701449505# #【电缆井消防安全】电缆井上下贯通，一旦发生火灾，火势易在楼层间蔓延，产生烟囱效应，形成立体火灾。竖井没严禁堆放杂物，每层楼板处和电缆盒内均应采用防火材料进行封堵。十二月你好
1693606554# #开学日必备的仪式感。开学了，同学们，记得学好安全感，也是仪式感～ok小学生开学爆笑名场面
1697841366# #【搜救犬挑战高空走钢索又稳又快】消防搜救犬是蓝朋友们无言的战友，紧急情况发生，是它们为危境中的人们带来生的希望，这也是搜救犬和训导员们经过无数个日日夜夜的训练才能达成的技能。今天就来看看危险动作，请勿随便模仿哦！
1703962370# #【痛心！插线板未拔5分钟致2老人身亡】近日，湖北武汉，一小区家中两位老人深夜熟睡，并未察觉插线板异常，约两分钟后插线板将上方的沙发点燃冒出浓烟，约四分钟后浓烟密布整个房间，两位老人不幸因吸入过多浓烟窒息身亡。提醒：请注意冬季防火，用电设备勤检查，老旧电器及时换。
1690068636# #【小哥喝酒贪杯把自己灌醉躺路上睡着了】近日，云南，小哥喝酒贪杯把自己灌醉了，迷迷糊糊错把马路当床倒地就睡，群众发现报警。消防员赶赴，刚一靠近就闻到浓郁酒味，帮忙将人扶起，小心抬至救护车，交由医护人员救治。
1689375952# #【女孩为消防员扇风解暑看到镜头后害羞】近日，广西贵港，消防员在演练现场操作综合定位装置，一名小可爱看到汗流浃背的消防哥哥，悄悄走过来给消防哥哥扇风解暑，发现镜头后还不好意思了，可爱的害羞转头，这画面真是怎么看都看不够~
1701995185# #【当心多彩氢气球遇火秒变小炸弹】好看又好玩的氢气球深受孩子们喜爱，但你知道吗，它有可能成为一颗“炸弹”。氢气是一种密度小、性质活泼、易燃易爆的气体，当氢气球与其他物体摩擦产生静电、遇到明火、太阳暴晒或压力过高时都有可能造成瞬间爆炸。提示：家长们要注意，给小朋友们选玩具时尽量避
1699289046# #上海降温比双11力度还大【大风降温天防火记心间】大风降温天，要及时添衣谨防感冒，同时也要注意日常生活和工作中的防火安全！戳下图↓↓了解大风降温天的消防安全知识！应急科普东北暴雪
1688690198# #【7名摩友组团出行遇暴雨被困深山】近日，云南红河，突降暴雨致7名摩友被困深山。消防员赶赴，沿途随处可见小面积滑坡和滚落的碎石，救援人员穿戴好水域救援装备，艰难趟水转移护送被困人员，最后悉数抵达安全地带。
1691973782# #辽宁消防超话【鸳鸯妈你发现没少了只崽】近日，浙江杭州，一群鸳鸯从井盖上走过，一只小鸳鸯不慎掉入下水道，“粗心”的妈妈浑然不知，大摇大摆的走了，路人发现报警求助。蓝朋友到场后，将井盖撬开，俯身井口将小鸳鸯救出。小鸳鸯：吓死宝宝了，我在哪我妈在哪~消防蓝朋友
1700065587# #怕冷的广东人有难了近期广东气温持续下降，预计17日，广东北部气温跌下10℃。街坊们的暖手宝、小太阳、电热毯纷纷登场，大家在使用这些电器的时候记得不要长时间开启，用后立刻关闭电源哦~更多冬天防火小贴士，戳视频↓↓↓广东迎来下半年最冷早晨
1690499963# #古建筑承载历史文化的古建筑，经得起岁月流逝，却经不起火灾侵袭。他们大多为砖木结构，如果不注意防火，一不小心就会“惹火”上身。下面的防火攻略一定要熟知！
1700150698# #女子气道藏哨子41年才取出太吓人了！如果误食了异物该怎么办？海姆立克急救法保命小妙招来了！看蓝朋友为你演示一遍吧！全国消防宣传月山东消防超话
1688252188# #辽宁消防超话【江西一化工厂爆炸愿平安！】今天中午，江西省贵溪市的江西乾泰新材料有限公司发生爆炸。目前，消防救援工作正在进行，伤亡人数正在核实。持续关注！（央视新闻）江西一化工厂爆炸救援现场
1691210246# #
1692396746# #为什么去旅游的人越来越多了【旅游景区消防安全提示】夏天到了，越来越多的人加入到景区山林、看日出、海边游玩的队伍中，蓝朋友提醒大家，旅游好风光，消防安全不能忘！一起来戳图学习吧~
1700009186# #豫见火焰蓝超话【仓储物流场所如何做好防火工作？】仓储物流场所堆放的物资数量多、密度大，可燃物种类多，火灾隐患大。因此，各物流仓储企业一定做好火灾防范工作，排查消防安全隐患，避免事故发生！戳视频↓↓中传着火
1696176035# #【国庆节前消防员帮八旬老人收稻谷】近日，江西赣州，蓝朋友下乡宣传途中，偶遇两位八旬老人在匆忙收稻谷。天色阴沉，老人担心随时会下雨。消防员见状，立即加入抢收队伍。十分钟后，将稻谷全部收完。
1690934164# #【愿平安！洪水中成泥人的消防员紧紧护住村民】近日，陕西咸阳，受持续性强降雨影响，洪水围困村庄。消防员紧急赶赴，泥水湍急，湿滑不堪，救援人员深一脚浅一脚涉水前行，成功营救被困群众45人次。ps：面对灾害，蓝朋友始终与大家站在一起！台风卡努正在增强
1700688163# #辽宁消防超话【消防化身蜘蛛侠救高压塔上蒙面侠】近日，湖南张家界，女孩好奇贪玩，网购了半身安全吊带、手套、头套等攀岩装备，爬上20米高压电塔，不料被困。话说娃这造型相当清奇，“蒙面超人”下次
1688778376# #蓝浙浙的微课堂【溺水后该怎么办？蓝朋友来告诉你！】意外落水怎么办？水里脚部抽筋如何缓解？把人救上来以后，如何进行施救？杭州消防员现场救援演示。
1688430478# #【各位爬围墙取外卖的小伙伴需要注意了】近日，安徽宿州，女孩爬围墙取外卖，手指不慎被围墙上铁丝网扎穿，疼痛难忍不敢动弹。消防员赶赴，安抚女孩情绪同时，小心破拆将其救下，并送医救治。
1692572246# #【男子被压24小时村民发现拨打119】近日，江西景德镇，一男子被水泥柱压住双腿一天一夜，路过村民发现，报警求助。消防员立即赶赴，男子浑身灰尘，腰部以下被压动弹不得，情况紧急。救援人员安抚情绪同时，立即联合周边村民一起将水泥块抬起，经过10分的救援，将男子救出移交给医护人员救治。
1699838786# #于适yosh超话【和一起关注消防】五年来，“火焰蓝”一直在你身边。全国消防宣传月，让我们大家一起关注消防，预防为主，生命至上。  于适在消防月穿上了制服于适穿制服
1692913856# #大连地震【地震发生时的自救措施】地震具有极强的破坏性，当地震来临时，你会选正确避险吗？掌握好这些自救常识，关键时刻进行自救，快来戳图学习！
1700860803# #【一个视频带你了解消防应急标志灯】‌茫茫黑夜，灯塔指引船舶的航行方向，浓烟滚滚的火灾现场，消防应急标志灯具为人们安全疏散指引着方向。‌‌火灾发生时日常照明失效，加之火场烟气蔓延导致能见度很低，人们在疏散逃生时很容易失去方向，这时消防应急标志灯具将发挥‌‌重要作用，指引人们向安全
1697841375# #黑龙江消防快讯【电瓶爆燃消防员闯进浓烟疏散群众】近日，天津滨海，住户将电动车的电瓶拿进室内充电爆燃致起火，因家中无人，邻居发现后拨打119求助。消防员紧急赶赴，只见现场浓烟密布，室内一片狼藉，迅速疏散群众，同时对火势进行控制，最终成功将火势扑灭。提示：电动车禁止进楼入户充电！
1689553164# #辽宁消防超话【护了一段路也照亮了一段路】近日，广西钦州，消防员出警归途偶遇一对年迈老人。狭窄的乡道上，这对老夫妻佝偻着背，推着一车花生艰难爬坡，看得人眼眶发热，蓝朋友们立马靠边停车，小跑过去暖心帮老两口推车送家。ps：护了一段路，也照亮了一段路~
1703629317# #【冷冻食品直接下锅油炸秒变炸弹】今天给大家分享油炸冷冻食品的安全小技巧。冷冻食品可不能急着下锅，解冻后沥干水分才安全；可直接油炸的小块冷冻食品，也要注意油温不要过高，食物不要超过油量的一半，以免热油喷溅沸溢，发生危险。更多安全小细节，戳视频学习~消防蓝朋友
1688601986# #【户外出行山地遇险怎么办】假期出行山地户外遇到突发情况该如何处理，如果你还不知道，那快来仔细看看这份安全指南吧，希望对你有帮助！
1697213073# #【常闭式防火门为啥要常闭】在高层建筑的疏散楼梯入口处，都会设有防火门。在发生火灾时，无论是向下逃生还是向上通过屋顶平台疏散，楼梯间都不能有任何烟气和火焰，这就需要常闭式防火门发挥作用，这种通向疏散楼梯的防火门一般为乙级，烧60分钟也不会坏，足够人员撤离逃生。如果常闭式防火门被开启
1703629359# #【转存！千万别这样洗羽绒服】什么！这样洗羽绒服会爆炸？只是洗一件小小的羽绒服，从洗衣机里一拿出来“面目全非”。由于羽绒服质量较轻，透气性差，湿的羽绒服里面填充的羽绒会聚在一起，使得衣服里产生大面积空隙。高速甩干时，羽绒不断膨胀产生空气，而尼龙布和羽绒会产生静电，相互作用下容易发生
1701995232# #降温应急科普【冬季防火七注意】寒潮来袭，温度骤降，家庭取暖设施、家用电器等使用也愈来愈频繁，由此产生的火灾隐患不容忽视！冬季如何预防火灾发生？这七点要注意！戳下图了解↓↓
1691536849# #辽宁消防超话全民素养提升v计划【消防实验室】夏季高温天气，汽车内经过太阳暴晒更是温度奇高。在车内打火机、香水、水晶玻璃以及透明的水瓶等受高温极其容易爆炸，提醒大家不要在车内放这些物品哦～辽宁消防云科普
1696357655# #【搜救犬连休假都不忘上岗叮嘱两句】国庆小长假，可爱的消防搜救犬整花活了。知道大家可能要外出游玩，小家伙有话要嘱咐：国庆节出去玩，别忘了消防安全哦。戳视频，看看小家伙还有啥嘱咐～
1703373831# #【使用任何电插排这几点一定要留心】电源插排是家家户户必不可少的电器配件，不过你真的使用对了吗？当插排上同时工作的用电器过多，线路将快速升温甚至引发火灾；万一买到假冒伪劣的电器产品，保护层阻燃性能差，十分危险。提示：插排起火，记得先断电再灭火。消防蓝朋友
1694291784# #【消防员背起瘫痪老人说我们在别怕】近日，福建福州，台风“海葵”致多地暴雨，一瘫痪老人被困家中，家人焦急报警求助。消防员赶赴，见老人情绪激动，急忙安抚"有我们在,别怕”，随后将老人稳稳地背起，小心翼翼转移至安全地带。ps:一句我们在，听得人安全感满满。
1697329175# #【男子上山摔断小腿120拨通119电话求援】近日，湖南永州，男子上山买羊，不料滑倒致右腿骨折，无法动弹。由于道路崎岖，医护人员和村民难以搬运，只好拨打119求助。消防员赶赴，用腰带将伤员固定在救生担架上，轮流肩扛手抬实施救援，因夜间光线暗、道路崎岖不平，蓝朋友全程小心翼翼避免给其造成二
1702156926# #【“九小场所”消防安全知识】沿街小商铺、小饭店、零售店等“九小场所”为大家的生活提供了许多便利，但由于这类场所易出现可燃物多、火源管理差、“三合一”等问题，存在较大的消防安全隐患。什么是“九小场所”？该类场如何做好消防安全措施？快来学习吧！
1696801496# #地铁好像成了打工人的休息室【乘坐地铁安全须知】地铁是城市里的一种重要交通工具，客流量大，人员集中，一旦发生意外，极易造成群死群伤的严重后果，关于地铁乘坐安全须知，一起戳图看看吧。
1702935793# #【如何正确使用烤火箱】烤火箱俗称“火笼子”，不少人为图方便，给它赋予了很多功能，烘烤衣物、直接平躺取暖……殊不知这些行为暗藏着很多危险，稍有大意，就可能发生火灾。切记取暖器只可取暖用，违规操作很危险。提示：请购买正规合格取暖设备，使用时不可在上面站立、卧躺，周边不要放置可燃物
1704149563# #【女孩戴大戒指消防员都忍不住笑了】近日，浙江杭州，一女孩好奇玩弄板凳，结果被卡，来到了这戒指挺时髦的~消防蓝朋友
1703779367# #豫见火焰蓝超话【这些安全知识等到需要再学就晚了】万一被困火场该如何正确逃生自救？消防蓝朋友教你“火场逃生术”，从而正确逃生。戳视频，全都是干货，知识点满满哦~
1703001682# #直击甘肃地震救援【别怕，消防员叔叔来了！】12月19日，甘肃省白银市消防救援支队消防救援人员抵达地震灾区开展搜救，对该村逐户逐家房屋受损情况进行实地勘察，详细询问每名村民家中存在的困难，并叮嘱他们一定要注意自身安全。消防员一圈圈擦拭震区男孩受伤手臂其间，消防救援人员对一名胳膊表
1691973755# #云南地震【发生地震时如何自救】地震时，在家中的人员进行个人防护的方法：当你感到地面或建筑物晃动时，切记最大的危害是来自掉下来的碎片，此刻你要动作机灵的躲避。蓝浙浙的微课堂
1692396781# #应急科普【高层火灾莫惊慌正确逃生是良方】暑热天气持续，生活生产用电量剧增，稍不留意就容易引发火灾。高层火灾莫惊慌，正确逃生是良方，这份防火安全提示请收好！
1694378425# #【女子持刀挥舞消防员一个飞扑夺下】近日，江西新余，一女子情绪激动，持刀站在屋顶边缘欲轻生。消防、民警赶赴，悄悄潜入女子身后，趁其磨刀之际，一个飞扑上前夺刀救人，队友立即配合，最后众人将女子带回安全地带。网友：夺刀瞬间太帅了～
1702834462# #【这场雨救下的不是蚕豆是师傅的生计】近日，湖南常德，一辆长途冷藏车在运输途中突发故障，制冷压缩机停止工作，车上10多吨蚕豆面临腐烂。一家五口就靠这辆车跑运输维持生计的车主急得嚎啕大哭，收费站工作人员见状帮忙报警求助。常德消防赶赴，出水为蚕豆浇水降温，并联系附近修车师傅帮助维修车
1693264621# #【龙马精神在冠军宝马身上看到了】近日，青海玉树，连日来的强降雨导致路面被淹，一匹价值20万的赛马不慎陷入泥潭，马主人焦急报警求助。消防员赶赴，只见马儿虽深陷泥淖仍不放弃，昂扬马首奋力向上挣扎。蓝朋友和村民合力施救，马儿也好像明白了似的，奋力打挺，成功站起，主人将其牵离泥潭。
1704211755# #辽宁消防超话【雪天路面湿滑轿车失控与三轮车相撞】近日，辽宁大连，一辆轿车因冰雪路面湿滑转向失控与三轮车相撞，三轮车司机腿部受伤被困无法动弹，且头部受伤。消防员立即赶赴，利用液压扩张器进行扩张，经过15分钟的紧张救援，将被困人员救出送往医院救治。消防蓝朋友
1698451487# #【游乐园消防安全提示】游乐园有过山车、大摆锤、海盗船……不少好玩的游乐项目，简直就是快乐源泉，但在刺激体验的背后，也存在不少安全隐患。陕三岁提醒您：愉快玩耍，别忘安全防护哟！戳图↓↓学习，转发扩散！上海迪士尼官宣疯狂动物城园区
1694803031# #女子翻护栏捡手机坠下40米高瀑布身亡【旅游景区消防安全“知识贴”】风景处处美，安全时时记。消防蓝朋友提醒：在旅游景区游玩时，一定要提前规划好路线，不要随意前往未经开发的区域，如果发现迷路，不要盲目前进，第一时间报警求助！
1693349609# #【消防员一个地儿一口气抓了11条蛇】近日，安徽阜阳，一居民报警求助称家中有蛇出现无法处置。消防员赶赴，立即用铺蛇钳进行逮捕，好家伙，抓一条冒一条，抓完一数，大大小小足足有十一条，蓝朋友都忍不住吐槽这是捅了蛇窝了吗。网友：不知道的还以为是葫芦娃报的警呢～消防蓝朋友
1698692944# #【小姐姐被困ATM取款间消防翻墙救人】近日，四川泸州，一女子进入一处ATM点取款时被锁在里面无法出来，无奈之下报警求助。消防员赶赴，只见房间不高且上有足够宽的缝隙，搭设三角梯子后成功营救出女子。网友：钱取出来了，人出不来了~
1687302592# #辽宁消防超话【遇到这类大蛇还是走为上策】夏季蛇类爱“串门”，蓝朋友处置蛇的警情增多，“藏匿鞋柜被擒拿，溜进居民家中想纳凉......”蓝朋友提醒您，如遇蛇出没，切勿盲目抓捕，保持安全距离，并迅速报警求助。消防蓝朋友
1699566341# #原来119是这个意思“刀山敢上，火海敢闯，召之即来，战之必胜”，2018年11月9日，习近平总书记向国家综合性消防救援队伍授旗并致训词。今天是全国消防日，重温训词，致敬消防员！
1700150683# #辽宁消防超话【你没见过的消防员大放送】脱下火焰蓝制服的他们也一样的醉心人间烟火，有自己的小确幸。但警铃一响，他们便逆向而行奔赴险情第一线。火焰蓝光芒耀眼，是蓝朋友的本色更是信念。全国消防宣传月中国消防蓝朋友本色大片
1694127217# #北京发布中秋国庆放假安排【假期出去玩的时候一定要听蓝朋友的话】到旅游景区游玩时，我们该如何预防火灾？发生火灾又该如何应对？来吧～跟“蓝朋友”一起学习旅游景区消防安全知识！中秋国庆共放假8天
1698105257# #【防烟面罩保障你的畅快呼吸】发生火灾时，防烟面罩的作用是很大的，它能阻挡住烟气，给人时间自救！如何使用请看这里→开拔套拉，五秒佩戴，助你穿透浓雾，保命逃生！请认准3C和红黄S标志，搭配119电话使用更佳！原来消防器材这么牛
1696357678# #【听到国歌响起男孩的本能反应太暖了】近日，天津东丽，国庆小长假，小男孩同妈妈路过消防站时，见消防员们正在举行升旗仪式，立刻小跑至国旗面前，驻足敬礼。网友：这是刻在中国人骨子里的信仰。
1698003027# #【电气电线消防安全须知】寒露已过，气温逐渐降低，居民用火、用电、用气随之增加。而电线、电器作为日常生活中必不可缺的东西，稍不注意，就会变成伤人利器。为了小伙伴们的消防安全，“蓝朋友”准备了一份电气电线消防安全知识手册，请查收！
1699757033# #【观影时尼格买提这段话要记牢】中国消防宣传公益使者尼格买提呼吁大家：电影可以重演，生命不能重来，火灾逃生不能急，有序疏散更快捷。如遇火灾，要根据安全出口指示方向快速有序逃生。不乘坐电梯、不贪恋财物、不盲目跳楼。预防为主，生命至上。全国消防宣传月
1688252153# #【消防员火场外架生命之梯营救出8人】近日，湖南长沙，居民楼意外起火，有8名群众深夜被困。消防员赶赴，夜幕之下架起生命之梯，利用防盗窗上侧面小窗，将被困人员悉数平安转移，并将大火扑灭。
1699459402# #【工地铲车凌晨自燃吓坏值班师傅】近日，江西吉安，一工地铲车未关电源致车辆夜间自燃，火焰在夜晚闪烁，看着吓人，值班工人立即报警求助。江西消防深夜赶赴，立即架设水枪将火扑灭。提示：下班记得关闭电源，及时检查线路安全。
1692296935# #【景区旅游季，消防安全要牢记！】假期不管是去近郊还是远行，都要带好安全行囊，伴你快乐出行、平安回家。这份安全提示，学生和家长都用得到哦~
1701995157# #【消防员仅用19秒索降救下欲轻生女孩】近日，浙江义乌，女孩一时想不开，坐在窗台外空调外机架上，情绪低落欲轻生。遇事好好沟通，一定要珍惜生命啊~消防蓝朋友
1697654359# #【男子骑摩托山地越野撞树跌下山】近日，广西南宁，一男子在进行山地摩托车越野时，撞到树上摔下山坡，左小腿疑似骨折，无法动弹。消防员接警后赶赴，用担架将其抬下山并送医救治。提示：户外运动量力而行，勿忘安全第一！消防蓝朋友
1702397094# #【雪景虽美但这些事大意不得】10日夜间起，北京迎来今冬首场大范围明显降雪，装点了北京的大街小巷，更为长城添加别样韵味。在北京延庆，雪后长城氛围感拉满，一派美不胜收的北国风光。但蓝朋友有话说，雪天路面湿滑，出行时切记勿忘安全第一哦，戳视频看吧～
1701449522# #【没事二字被救娃消防员复制粘贴了】近日，山东济南，一萌娃调皮玩耍，小手指塞进门窗玻璃的小孔中，不慎被卡，家长施救无果，无奈报警求助。赶赴，检查孩子情况后，实施破拆，看得出蓝朋友是真替娃着急啊，不自主开启碎碎念模式，直呼“没事没事没事......”，最后破拆玻璃小心帮娃脱困。
