1692163019# #他如果真的不在意就不会为了巡演减肥，他如果不在意就不会在716说趁容颜还在时多见见，不会说等老去的时候就隐退山林，更不会说希望你青春记忆里他也是青春的记忆
1696839893# #怎么还有延伸台
1691229566# #🐴一个
1693064739# #小猪比心！！！！！还有手势回去洗个热水澡啊！！！！抱一抱
1701605419# #帅！！
1699183658# #哎呦我爱我老公！！！抱一抱
1699336590# #我投给了“薛之谦”~
1697892565# #我贴贴
1690082274# #转发微博
1693155724# #转发微博
1697007722# #转发微博
1695986892# #不在
1695116482# #我靠一整个期待住了抱一抱
1687350881# #转发微博
1702385435# #薛宝玩嗨了哈哈哈哈哈哈哈
1693140891# #转发微博
1691761707# #我的眼泪不值钱泪
1698249609# #年年都有，但今年特别多……
1696740529# #好
1690138422# #见字如面我们深圳见
1698505536# #宝贝，下巡见啦
1689565230# #薛之谦717生日快乐
1695992684# #转发微博
1702037582# #笨蛋小猪哈哈哈哈哈哈哈
1694319956# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的薛之谦，快来和我一起为更多优秀音乐内容助力！偷乐
1689518611# #比自己过的热闹多了泪泪
1696504364# #吾夫好帅啊啊啊啊啊啊
1694965991# #宝贝，我们广州见噢
1691166165# #薛之谦京都念慈菴品牌代言人薛之谦化身老师bgm
1693146774# #溜了好可爱啊！！
1702731366# #救命我还以为我手机卡了哈哈哈哈哈哈哈哈哈哈，宝宝多穿点衣服
1693314179# #转发微博
1697885647# #好可爱抱一抱
1694953903# #我要闹了泪
1700431733# #转发微博
1696523656# #转发微博
1702891062# #服了啊啊啊啊啊啊
1691852605# #转发微博
1702018439# #我在2023微博音乐大赏推荐了《凤毛麟角》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐
1691757491# #哎呦喂我的宝宝什么时候才能完全好啊苦涩
1691813443# #转发微博
1696219971# #刚睡醒就被刀泪“我们互相拯救”泪泪
1691756147# #四巡之前能听到现场版的崇拜嘛苦涩苦涩哭死😭
1691930180# #好可爱啊！！！！！
1695580827# #转发微博
1700447887# #微笑
1693228752# #多发爱看
1700100755# #我接
1704001688# #，笑晕了哈哈哈哈
1696596690# #人在上班心已经去了演唱会了这破班一点都不想上苦涩
1703059993# #三明体育场内场开座12480，看台极限开座约16000+，结合官方报道两场近6万，按实际观演人次按58000估计。
1700723421# #转发微博
1695047803# #我！
1702709265# #一起来2023微博演出大赏进行音乐演出的回顾与盘点！我推荐了薛之谦天外来物巡回演唱会，你也一起加入吧～年度演出推荐^^
1693678998# #转发微博
1687578991# #转发微博
1691113121# #绝了啊啊！！！p5的线条泪泪抱一抱
1695310615# #宝贝今天太帅啦！！！！广州见宝贝打call
1702264827# #我靠！！！
1702734750# #好一言为定！！！春缓花开时，我们在相见，穿好衣服泪
1702371621# #薛之谦上上谦火锅仅剩两家。哇哦热一了耶亲来广东开多几家喔每次去都好多人啊，不想排队了单身狗
1700373185# #薛副局长怎么可以这么帅！！！
1702817595# #可爱鼠啦啊啊啊啊宝宝怎么这么萌啊
1703168060# #小猪
1703307761# #好融化
1691556985# #渡！！！啊啊啊
1701521496# #我靠啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊老公啊啊啊啊
1691247521# #哎呦我的猪！！！我的🐷！！！
1691756645# #转发微博
