1692331179# #所以演技差剧难看该怪观众眼光问题吗，吃点好的吧，谁pua谁啊哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1701248666# #笑死我了，看了一天菲佣发疯破防了，哈哈哈哈哈笑死破防到退网，你还得多退一些时间了刘诗诗红红火火任如意全球播出刘诗诗就是牛怎么办呀哈哈哈哈笑死我了~~~
1702090145# #昨天晚上流泪，醒来看到微博又流泪，我真的痛苦，我一边告诉自己，我得忍着不能辜负姐的付出，她付出这么大的精力拍这部剧真的很在乎这部剧，可是我也是观众，我没办法只是。一味的去夸被删被改被偷高光被踩如意的剧，唯有自我感受是最真实的，泯灭痛苦麻木的话是感受不到快乐的，我爱姐姐同样也希望我
1695257381# #期待
1701076599# #狮子们能不能不要去跟风了……如果明天开播明星帮转宣传……不会真有职黑辱追觉得是自己的功劳能摆弄明星了吧……不止是把刘诗诗当傀儡还生怕她不被指责不被嘲讽，真职黑真的很丢人，他们做的所有的恶心事最后都只会算在姐的头上，能不能不要把自己当做神以为刘诗诗是靠你的……真的又蠢又可笑……
1695006256# #考考这个恶心的世界，恶心的法律，可笑的律法，明目张胆吃女人
1693127826# #笑死我了
1704339307# #期待
1690108198# #东方树叶那股刷锅水的味道，还蛮解腻的
1693365800# #期待打call
1701151878# #与项目爱心宣传大使一起关注女性健康，关注“中国女性宫颈健康促进计划”，向宫颈癌说不！
1698750888# #原来昨天黑子全体出动是急眼了，刘诗诗这么牛可不得把职黑气疯了怒怒怒
1695306286# #好美好美
1701193476# #狮迷影业的剪辑大触在哪里，有没有粉丝给我火速剪辑一个女主cut版本我真的求求了眼睛疼跪了跪了跪了
1693360943# #ai无法代替真人，这些商家你们再p试试呢微笑毫无参考性……
1695171621# #她与灯因写作拿到的第一个奖心疼男宝的女人的一生
1700799412# #一念关山你好狠毒的台词……刘诗诗对着那张脸说生孩子……我还以为是像女医明妃传霍建华的脸、美人心计严屹宽、或者乔振宇欧阳明日欧阳少恭……镜头一转眼睛一黑，演员还是得有职业素养的，不然真念不出那台词挤眼
1701220563# #审判一念关山一念关山刷新首日剧播纪录热知识：一念关山的一是一姐的一……有些人脸真大啊，靠蹭姐的热度吃女主红利得了便宜还要踩女主飞升抢功劳的样子，真丢人，被刘诗诗带飞你就偷着乐吧……路人锐评：刘诗诗的古装剧是路过的蚂蚁都会点进来看一眼的程度……。。怎么有人能脸大的吹自家独大的
1702040846# #退钱，给我退会员钱，妈的全程看死耗子装逼恶心我，挂羊头卖狗肉
1696771722# #看热血漫的时候感觉除了小太阳主角……其他人都活的好悲观……口头禅是“反正我的生命也没什么意义”“我的存在没有任何意义”“活着没有任何意义”“我活着就是为了你而存在”……等着小太阳来当这道光……好傻缺好中二好不理解
1693567446# #天呐天呐好期待，我怎么觉得才刚来拍来着，预告就来了打call
1699014539# #天呐啊啊啊啊啊啊姐好美
1688878664# #期待哦
1701427379# #刘诗诗任如意谁懂，一念关山师徒线到现在不到两分钟的剧情，给网友都掉成翘嘴了……已经看到一对师徒的剪辑了，甚至他们两还没正面的同框，健康的恋爱固然健康，疯批的恋爱实在重要，给我上桌，师徒给我狠狠上桌舔屏舔屏舔屏刘诗诗一念关山刘诗诗任如意
1696486317# #对不起……我笑了半个小时了这张图
1690084242# #我有点强迫症了，看校园文女主跟男主在一起乱搞还说不想上学然后什么爹系男友引导女主的时候……我恶心的差点吐了
1701962879# #一念关山我就不看完整版了，姐，你下部剧狐妖竹业篇欠你的我一定努力还回来没日没夜做数据，一念关山我真的撑不下去了……b站自会有人美心善的大大忍着刷丑男的剧情给我剪辑姐的cut和师徒线cut，我先跪谢一个了跪了
1690013258# #我的性取向都在二次元，不懂二次元老公的有难了
1704074298# #期待更高的2024，期待刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇
1701428406# #帅气如意啊啊啊刘诗诗任如意|刘诗诗|刘诗诗任如意|一念关山任如意|刘诗诗任如意|刘诗诗任辛|刘诗诗任如意|刘诗诗一念关山|刘诗诗任如意|刘诗诗|刘诗诗任如意|一念关山任如意|刘诗诗任如意|刘诗诗任如意|刘诗诗一念关山|刘诗诗任如意刘诗诗任如意|刘诗诗
1694665310# #期待姐姐的演绎
1688793671# #曝某女星人前甜美人后猖狂没有卓伟的内娱，什么人都配当狗仔了吗……
1687525440# #啊不是我说，竹叶的防代拍防的这么严吗哆啦A梦害怕哆啦A梦害怕居然看不到动静
1701532600# #我刷到了周依然这个演员的剪辑了……我发现演员真的不能追求过度医美，演员最重要的就是辨识度和记忆点，还有演技和选剧本眼光，其他的也不是一个小演员自己能把控的剧……这个女生没有去碰古装剧这种明显的小花比美赛道的短板，在电视剧电影圈都有可圈可点的代表作了，而且她虽然不是就是大众审美上的
1701960486# #又美了幂姐
1693053529# #支持微笑
1690511548# #刘诗诗雨中撑伞路透姐，我唯一的姐，刘诗诗古装免检造福我的眼睛泪泪泪
1698026759# #不得不感叹……明星有公关团队就是了不起……路人发的都限
1702259216# #大大，饭饭泪泪泪爱您
1701012795# #姐粉🐮🍺我说累了，期待刘诗诗一念关山
1687605921# #笑死我了
1687885844# #好不容易下班了看会儿番，别把我气死了我真服了，本来就知道全职猎人没完结更烦了该死的都还没来得及死
1700797744# #期待狐妖小红娘竹叶篇，一番大女主官宣独一人的待遇感觉有王一栩起码对剧没人作妖有保障挤眼挤眼挤眼
1688272842# #无语死了，什么cp都磕只会害了，有些人真的什么💩都吃得下
1695355287# #大姐，能别成天被迫害妄想症吗
1700890133# #一念关山今天的mv预告……我真的服了……到底谁这么喜欢网红磨皮滤镜……丑人多作怪
1688881297# #其实都还行，起码比起都大多网红来说记得住脸……与其纠结这些，不如看作品吗，全是一部接着一部女主的拍，资源一个接着一个捧，作品一个比一个拉胯
1690887508# #现在的小说越来越……第一次看到po文主角得樱饼……哈哈哈哈哈笑死我了
1691204084# #菲佣闲得蛋疼就去跪舔你美国主子，装什么啊贱不贱呐
1694414419# #好的导演和好的演员好的编剧能成就经典
1701404650# #少年郎意气风发，这个镜头确实挺可的……但是很明显，元禄的暗恋线被砍了，不然我感觉这个角色可以再升华
1699717685# #好想死，我恨双十一，下不了班了开学季
1700837439# #看了一圈路人评价……一念关山唯一让人期待的点就是“刘诗诗终于拍古装了”……就这样柠萌还作妖捧cp抬咖，真够下剑的
1700447884# #泪
1701505949# #笑死我了，在抖音师徒线下评论了几句磕到了，被男主粉装路人阴阳怪气了半天说我是男三的水军，老天爷啊，不喜欢老鼠精就是水军，柠萌买那么多热度男主人设剧情加那么多还捧不火还要防爆只有几分钟剧情的男三，真别把我笑死了，好丢脸啊网红裂开裂开裂开
1701162296# #刘诗诗超话遇到了空降超幸运，发帖求翻牌啊啊啊啊啊啊啊姐姐我爱你啊啊啊啊啊啊
1701743316# #柠萌你个天杀的
1694164130# #啊啊啊刘诗诗，我唯一的姐泪泪泪姐你真的好美好美，古代人造福我眼睛泪泪泪
1703336433# #于正梦女于正小号微笑
1701585227# #老天爷这个视频怎么存，给我看哭了，只要你摸摸小狗的头，小狗就会一直爱你泪泪泪救命我想转发
1702204702# #刘宇宁说不会因为负评放弃做演员好好好内娱所有花生都被祸害偷一遍
1694165434# #都说今年不好，可是今年我真的超开心，姐连着拍了两部古装剧都有我喜欢的造型，而且两个女主人设完全不同风格不同，这两部古装剧以后我觉得姐可能很久很久很久都不可能再拍古装了，但是足以支撑我在b站活着了泪我真的超级超级爱姐的古装，拯救了我
1698294935# #永远初心不变爱姐姐
1701194015# #柠萌你最好给刘诗诗磕一个，再敢作妖乱剪辑“一剪梅”试试呢，九州的前科还有人记着呢可爱可爱可爱一念关山
1703394237# #一念关山艾特错任如意角色号官方利用完女主捧咖后只不过是一次一次一次又一次的背刺刘诗诗罢了微笑微笑微笑接柠萌影视倒闭打call打call打call
1701076053# #大佬好帅好霸气刘诗诗一念关山刘诗诗任如意打call打call打call
1697462903# #我真的离老年痴呆不远了微笑
1701514023# #张巍以后写男女主感情戏可以收一下改一下线路了……再也不是霍建华陈晓他们这些古装美男配女主了，看丑男的时候眼睛疼想吐
1700912428# #职黑辱追上升到刘诗诗本人各种难听的绰号骂了半天一堆狮子跟风……姐姐明明很美也有在好好作为演员宣传作品，大家什么都看不到，对职黑的话像金科玉律一样奉承为圣旨忘记了自己的初心去上升到辱骂姐姐……又蠢又坏……。。这些职黑比菲佣更可怕，职黑辱追每次通过这些事上升到踩刘诗诗辱骂刘诗诗什么“老
1689152369# #笑死我了哈哈哈哈哈
1702210657# #麻烦刘诗诗团队接下部戏的时候问清楚合作演员是谁不要只是看剧本吸不吸引你姐了，不然你姐再拼命拍的剧也是努力努力白努力给他人做嫁衣，考虑一下忍着被加戏绸男恶心的要死还在给你做数据的粉丝！！！！！！
1687595368# #我重温以前看的动漫看到好多集了才发现……没有字幕唉，我完全听得懂，所以说有些东西就留给专业的配音演员吧……有些演员的原声简直就是让观众受折磨，还吹原音呢，不是自己讲台词就可以吹原音了……在我这能吹原音好的资本，起码得是梁冠华王志文老师的台词那种
1701658439# #辛光出息罢了，还没同框就出圈啦，气死谁啦太开心太开心太开心
1704682647# #黑长直舔屏舔屏舔屏好美舔屏舔屏舔屏
1703612837# #内娱丑男真的脸皮厚low到底了
1701341453# #我现在就跟守着春节零点似的等任如意……每天等到七点裂开刘诗诗任如意|刘诗诗|刘诗诗任如意|一念关山任如意|刘诗诗任如意|刘诗诗任辛|刘诗诗任如意|刘诗诗一念关山|刘诗诗任如意|刘诗诗|刘诗诗任如意|一念关山任如意|刘诗诗任如意|刘诗诗任如意|刘诗诗一念关山|刘诗诗任如意刘诗诗任如
1687620820# #重温到魔法咪路咪路，台版的配音真的是我的童年，脾气差叫“恰北北”好可爱啊，台湾口音真的
1703514601# #有些大大你们再写什么三十岁纯情处男霸总影帝宰相首辅试试呢……写的时候有没有笑出来微笑
1699785674# #太多的珠玉在前看了太多好看的热血番了……现在被捧上一定高度的的热血番感觉都一般（咒回鬼灭都一般）
1701000648# #刘诗诗角色号删博靠着刘诗诗时隔六年首部古装剧带来的热度，结果不断打压模糊女性的付出和成就，没有哪一刻比现在更渴望看到如意了更能体会到如意的艰难。。我甚至不敢想象宣发宣传就无数次作妖的制作方，剧里会怎么把姐熬无数个大夜提前进组训练为了如意打戏拼命的孤狼为了抬咖去恶意剪辑变成“小野猫
1700710094# #一念关山定档1128再骗我我不活了
1700813741# #一念关山喉结杀我沉默……
1702129202# #在我心里刘诗诗就是最好的演员，b站有非常多人磕辛光师徒cp，有评论说，为什么能磕到，因为这个徒弟的演员接住了刘诗诗的戏，能把我们带入进去。。。看剧的时候还是可以感知到常华森的演技稍显稚嫩的，但是他只要是和师父任如意在一起的每一场戏都能打动人所以才会有那么多人磕师徒辛光，常华森说跟姐拍
1689152431# #我沉默了……
1694419431# #拼多多9.9包邮都嫌贵
1690629525# #大家都懂得啦
1704158320# #看看凡人修仙传的预告，杨洋的颜值是真能打啊……真的跟现在那些85后的生吹古装美男完全不是一个层级，杨洋帅这个事是很公正的，有眼睛的人就是能看到，有些生粉精修图还没杨洋半点帅，不是粉丝吹的多修图修的好就是古装美男的，油过但是就没见杨洋丑过……我再相信你一次
1691421974# #我心态真的差，只要有纠结的事儿晚上就睡不着泪
1696604121# #用了一下抖音的那种可爱特效……我趣……抖音的美颜好强大……又自然又好看……
1701000878# #刘诗诗角色号删博靠女人上位，心疼男宝，还怕人说呀可爱可爱可爱令人作呕
1700458959# #爆哭泪好爱姐姐
1700462917# #期待姐姐的新作品打call
1702007535# #🍋💩
1703401583# #确实
1695901138# #缓解了我的容貌焦虑，挺好的
1689570612# #到底谁在偷偷发财，我真的生气了微笑
1703240149# #看不到脸我以为是鞠姐……不得不说在身高不够高的女明星里，鞠姐变美这块真的值得借鉴
1701511952# #嘴型和台词都对不上呀，柠萌为了捧男宝硬是改了女主任如意的台词罢了裂开裂开裂开
