1700231030# #人人公益节张杰音乐梦想教室涓滴之水成海洋，颗颗爱心变希望。我在“张杰音乐梦想教室”项目捐款成功！
1702961139# #张杰超话
1704279289# #张杰超话2024年张杰巡演演唱会杰哥快来广东惠州惠州惠州惠州惠州惠州没来过惠州总该安排一次吧苦涩@张杰
1694484482# #张杰超话。📝2023.9.8打卡外南街。9.9号成都飞长沙（😭完美的跟杰哥错开了）。下次一定要好好见苦涩苦涩
1696344209# #张杰超话河北邯郸音乐会。星星们太给力了苦涩深圳的我好怕挤都挤不进去
1703862357# #分享视频
1703943945# #张杰超话张杰未你好吗跨年演唱会。一个字！！！。辛苦幸福歌迷。打call打call打call打call打call心心心
1703041292# #张杰超话张杰1220生日快乐我的年度歌手生日快乐呀心心
1694102520# #张杰超话。张杰新专辑外南街1982上线。外南街，你好，终于见面了💗。。带上我的《外南街1982》专辑来啦。。坐着车想着你去找你的回忆。。小时候你参加快男，一度幻想着如果能去你长大的地方走走是多么幸福的事😭这么多年我长大了，毕业了（我以为可以离你更近）一毕业就结婚组建家
1693704390# #张杰超话心心心心心
1694192186# #特种兵出游之重庆。因*上次的重庆之旅而联系。所*这一次我们一起来到这座城市。下一次带上崽子们一起再来“爬山”吧哈哈
