1695108635# #0# #2# #0.012009306785999853
1702045558# #0# #3# #0.2560302006612274
1703686531# #0# #0# #0.6215052712449618
1702266960# #0# #7# #0.18283919875666824
1695184653# #0# #1# #0.6864272042699083
1701496891# #0# #0# #0.28557800379095505
1703157498# #0# #0# #0.028418385774304344
1698220860# #0# #3# #0.6864272042699083
1700552492# #0# #0# #0.6864272042699083
1696810614# #0# #0# #0.03517917425057671
1688107996# #0# #2# #0.208826379611252
1689371618# #0# #0# #0.6864272042699083
1691189876# #0# #0# #0.6864272042699083
1699428035# #0# #0# #0.6864272042699083
1703080869# #0# #2# #0.025761824927539125
1694169156# #0# #6# #0.07505645049806531
1693355535# #0# #2# #0.6864272042699083
1691979365# #0# #0# #0.8026326259640518
1692349524# #0# #2# #0.5849707408207018
1692610284# #0# #3# #0.844704581021008
1691910321# #0# #2# #0.9668157152323869
1690368549# #0# #0# #0.02818268300308961
1696841283# #0# #9# #0.24227984028632793
1700549984# #0# #0# #0.6864272042699083
1693064917# #0# #2# #0.5228584237437162
1697711331# #0# #2# #0.0480629707213238
1703857534# #0# #0# #0.9139584911902731
1686958442# #0# #0# #0.10984845138435792
1701755202# #0# #2# #0.03912378059444942
1693062106# #0# #3# #0.8723392423895798
1703086132# #0# #1# #0.1339999338796591
1694130245# #0# #2# #0.11494785800027935
1700310289# #0# #0# #0.6864272042699083
1703255345# #0# #1# #0.2682777938012215
1689347978# #0# #0# #0.6864272042699083
1700898046# #0# #7# #0.021210068383826157
1703217883# #0# #8# #0.030276362370697495
1696288729# #0# #5# #0.024063820355855164
1698642713# #0# #3# #0.03504752234637918
1694307998# #0# #0# #0.6864272042699083
1701830362# #0# #0# #0.8012361027093496
1703076221# #0# #0# #0.0695109044968887
1690529049# #0# #2# #0.6864272042699083
1695025492# #0# #3# #0.01818419425458933
1697266408# #0# #6# #0.447341527626878
1701109830# #0# #4# #0.01617229564523224
1702429256# #0# #13# #0.3037325103132037
1693663556# #0# #0# #0.6864272042699083
1694147561# #0# #70# #0.8656445683554347
1692606592# #0# #0# #0.6864272042699083
1701689490# #0# #0# #0.7937094701771924
1699082349# #0# #2# #0.10054420546612022
1699519605# #0# #0# #0.6864272042699083
1703150908# #0# #0# #0.008715244602570386
1690344990# #0# #0# #0.6864272042699083
1688168667# #0# #2# #0.02376870748604292
1694068196# #0# #0# #0.6864272042699083
1691204407# #0# #0# #0.6864272042699083
1700569919# #0# #1# #0.9898066525477166
1693609320# #0# #0# #0.6864272042699083
1690413694# #0# #2# #0.5092100463540356
1689068330# #0# #9# #0.3418159853968608
1703726168# #0# #0# #0.7293090426124237
1698020718# #0# #3# #0.004800156367769077
1694082604# #0# #0# #0.6864272042699083
1697450453# #0# #2# #0.6864272042699083
1691448384# #0# #2# #0.0044226471229954455
1692457862# #0# #0# #0.6406656239753936
1695374002# #0# #0# #0.6864272042699083
1689345906# #0# #0# #0.6864272042699083
1695022701# #0# #4# #0.31148575699625874
1694042912# #0# #1# #0.6864272042699083
1691105467# #0# #0# #0.6864272042699083
1690703239# #0# #0# #0.6864272042699083
1700463062# #0# #0# #0.6864272042699083
1693016539# #0# #1# #0.6864272042699083
1698118697# #0# #1# #0.5838816020025573
1697414946# #0# #4# #0.0966613412198689
1689864389# #0# #1# #0.9285666488163283
1691908727# #0# #0# #0.6864272042699083
1700578724# #0# #0# #0.27092457557069777
1693488584# #0# #0# #0.6864272042699083
1703218216# #0# #0# #0.04645386362372595
1689572419# #0# #0# #0.6864272042699083
1693306156# #0# #1# #0.6864272042699083
1699794159# #0# #0# #0.6864272042699083
1695395087# #0# #7# #0.8656445683554347
1700437512# #0# #0# #0.6864272042699083
1700798458# #0# #0# #0.6864272042699083
1699435397# #0# #1# #0.6864272042699083
1703372899# #0# #0# #0.013923006363383991
1688279562# #0# #2# #0.5596993005533007
1703256704# #0# #7# #0.9235116140616965
1693267813# #0# #0# #0.6864272042699083
1690368710# #0# #1# #0.6864272042699083
1695388883# #0# #1# #0.6864272042699083
1693871781# #0# #1# #0.6864272042699083
1701314660# #0# #3# #0.8012302077468705
1691847210# #0# #0# #0.6864272042699083
1691738310# #0# #0# #0.007112049675638278
1703548176# #0# #1# #0.006209861715558979
1690700398# #0# #2# #0.16965466623022826
1701830337# #0# #0# #0.8012361027093496
1703281605# #0# #1# #0.7936792847347316
1702004748# #0# #3# #0.014636874097067
1688824885# #0# #0# #0.050537546098954965
1694098257# #0# #2# #0.12555948711903814
1703672586# #0# #0# #0.1108302685034022
1700027248# #0# #5# #0.272479321400028
1703841165# #0# #3# #0.9814423736540376
1693107930# #0# #12# #0.5970885697588185
1693813358# #0# #5# #0.09327035762318475
1688272702# #0# #0# #0.05545358216447547
1698394122# #0# #0# #0.6864272042699083
1689257589# #0# #1# #0.6266344025297217
1691738637# #0# #7# #0.8412223843654508
1699230297# #0# #1# #0.07530607600496672
1702433387# #0# #0# #0.05893069602655121
1688088748# #0# #2# #0.3869457433544341
1700871246# #0# #0# #0.5506172663481201
1693797163# #0# #2# #0.010379601608638156
1703227414# #0# #0# #0.01348525030200054
1700215062# #0# #1# #0.40941767711529903
1692833988# #0# #2# #0.3337925416065731
1695599450# #0# #1# #0.6864272042699083
1697941881# #0# #0# #0.6864272042699083
1689406956# #0# #0# #0.007928227376014046
1692249096# #0# #7# #0.47497400766065206
1696813200# #0# #4# #0.04652696191659831
1690946940# #0# #5# #0.8115766766613292
1696038489# #0# #0# #0.6864272042699083
1692834383# #0# #4# #0.9551397087423147
1700215459# #0# #9# #0.11284781254550172
1697416555# #0# #0# #0.6864272042699083
1703375028# #0# #0# #0.04242377274911968
1691449994# #0# #0# #0.29243057481531876
1692622605# #0# #2# #0.22923057072358238
1701614652# #0# #11# #0.41991080018104515
1703841478# #0# #40# #0.5703668685416442
1703117179# #0# #0# #0.02080476046805802
1703509105# #0# #1# #0.9155558656525465
1697416384# #0# #33# #0.264094861719203
1703847063# #0# #1# #0.8656445683554347
1688089093# #0# #0# #0.004353682770615508
1701834080# #0# #1# #0.8012361027093496
1699057642# #0# #0# #0.6864272042699083
1693726941# #0# #0# #0.017969903792168174
1693092500# #0# #0# #0.6864272042699083
1689396664# #0# #0# #0.6864272042699083
1702015750# #0# #16# #0.09026102235332142
1694170425# #0# #1# #0.061358606286380964
1688967627# #0# #2# #0.6864272042699083
1689649405# #0# #0# #0.9572017053382087
1691161965# #0# #3# #0.005362300981373195
1696153732# #0# #0# #0.6864272042699083
1697416674# #0# #1# #0.6864272042699083
1702389655# #0# #1# #0.8633435226871586
1691188890# #0# #8# #0.1469520682603986
1689371834# #0# #2# #0.7128699494240568
1698880536# #0# #2# #0.4069925847478602
1701076243# #0# #2# #0.6864272042699083
1703749170# #0# #0# #0.9438801975426124
1703685581# #0# #2# #0.15114028946120944
1689848524# #0# #0# #0.6864272042699083
1693269830# #0# #10# #0.3117628103708347
1703066006# #0# #2# #0.06013066564486306
1698148703# #0# #2# #0.3564810438654335
1700017558# #0# #0# #0.6864272042699083
1694909862# #0# #0# #0.6864272042699083
1693267800# #0# #3# #0.02498008235120921
1698757243# #0# #0# #0.6864272042699083
1688341608# #0# #0# #0.6793827488626796
1697845509# #0# #4# #0.3552772831572915
